                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7385      8.0000000000000004E-001      1.9700000000000000E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93 
                            model_number                                 star_age                                star_mass                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                   radius                                  gravity                                 center_T                               center_Rho                                 center_P                        center_degeneracy                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne22                           mass_conv_core                             he_core_mass                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                                   log_LH                                  log_LHe                                   log_LZ                              log_extra_L                                 log_Lneu                            log_abs_Lgrav                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                max_eps_h                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                             max_eps_he_m                           max_eps_he_lgR                                max_eps_z                              max_eps_z_m                            max_eps_z_lgR                                 delta_nu                                 delta_Pg                                   nu_max                                    log_L                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                               burn2_top1                               burn2_bot1                               burn2_top2                               burn2_bot2                               burn2_top3                               burn2_bot3                               burn2_top4                               burn2_bot4                                 coupling 
                                     706                  2.3295455472808048E+008                  8.0000000000000016E-001                  5.8787142384337931E+003                  5.3566752828450848E-001                  7.0654820444603628E-001                  5.3566752828450848E-001                  7.0654820444603628E-001                  4.3923379358399434E+004                  1.2520540038901361E+007                  9.5693391843403873E+001                  1.6702409528683018E+017                 -1.3772939359894127E+000                  6.0216498844565780E-001                  8.6901886674717699E-001                  7.3799613508507345E-001                  2.5986335478360939E-001                  8.7272417289612587E-005                  4.0218459543489023E-004                  9.5196958217945177E-004                  0.0000000000000000E+000                  4.2273549397592362E-002                  0.0000000000000000E+000                  5.1740112076797296E-002                  7.8128606917360344E-008                  1.0000000000000000E+000                  9.8598172041156140E-001                  6.5473024234111055E-002                  7.8128606917360344E-008                  1.0000000000000000E+000                  9.8527906351887573E-001                  8.7727717789327503E-002                  9.7261111220169050E-004                  7.0654820444603628E-001                  5.5318564523764824E-001                  9.5485721537807502E-002                  9.7261111220169050E-004                  7.0654820444603628E-001                  5.4909825623263264E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.7088612861065886E-001                 -4.9165880411764078E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9322819653716730E+000                 -3.5692274510251352E+000                 -2.7147265208917126E-001                 -3.1406782670548190E+000                 -4.9165880411764078E+001                 -3.5945639269490755E+001                 -4.1245398700588666E+001                 -4.9840802049928847E+001                  2.1594944482759693E+001                  0.0000000000000000E+000                  7.8305359868331852E+000                  3.6098632500620896E-047                  0.0000000000000000E+000                  7.8305359868331852E+000                  3.5527136788005009E-015                  1.7111269152120024E-003                  9.3120248052073933E+000                  2.1053590132280340E+002                  0.0000000000000000E+000                  4.9246809044582496E+003                 -2.7110467939582017E-001                  7.4882397839147163E-001                  2.9937059694641698E-017                  2.6590029388655058E-005                  2.4919467102687654E-001                  1.0562497591117812E-009                  2.7122004248261748E-037                  7.3830455873450922E-099                  3.3891046647946253E-004                  1.0395659985286363E-004                  9.4323530644361403E-004                  1.9289487035528504E-004                  3.7576225276998959E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     736                  1.2613914551200235E+009                  8.0000000000000016E-001                  5.9102584031040324E+003                  5.7359551005885934E-001                  7.2335047294151122E-001                  5.7359551005885934E-001                  7.2335047294151122E-001                  4.1906539611700093E+004                  1.2783690952671329E+007                  1.0390641036966305E+002                  1.7818209985187126E+017                 -1.3545126244878471E+000                  6.2585350019015273E-001                  8.4330857575954832E-001                  6.8658773354935465E-001                  3.1127703378346566E-001                  1.2445124626473261E-006                  5.0664721729850703E-004                  9.5923235503172295E-004                  0.0000000000000000E+000                  1.8512816845856629E-002                  0.0000000000000000E+000                  2.2506973355360338E-002                  7.8128606917360344E-008                  1.0000000000000000E+000                  9.8708440167422451E-001                  2.9196924095178267E-002                  7.8128606917360344E-008                  1.0000000000000000E+000                  9.8663276665388666E-001                  6.3764015420884029E-002                  9.4627876859777185E-004                  7.2335047294151122E-001                  5.6715023903619199E-001                  6.9818110141080719E-002                  9.4627876859777185E-004                  7.2335047294151122E-001                  5.6297400730713731E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.4134684986099192E-001                 -4.8410935189527365E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9131109408370672E+000                 -4.2033130050777601E+000                 -2.4145579693458585E-001                 -3.8419700643199417E+000                 -4.8410935189527365E+001                 -3.7243230634318266E+001                 -4.0596626041045603E+001                 -4.9240878041274463E+001                  1.8559017096740881E+001                  0.0000000000000000E+000                  7.8186158557567129E+000                  2.1769925121161023E-046                  0.0000000000000000E+000                  7.8186158557567129E+000                  3.5527136788005009E-015                  3.4424949779686470E-003                  9.4017897539479307E+000                  2.0330799880931954E+002                  0.0000000000000000E+000                  4.6859979096521920E+003                 -2.4139425685959603E-001                  7.5745629296687389E-001                  3.1276152760949175E-017                  2.5986742771040802E-005                  2.4063456114943405E-001                  1.0179177440456227E-009                  7.8577786268797396E-038                  5.5390069823229197E-099                  3.2661466139309445E-004                  1.0018501350290400E-004                  9.0901435835933806E-004                  1.8566525051003758E-004                  3.6167883917419421E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     769                  2.0935596840895665E+009                  8.0000000000000016E-001                  5.9367795782814319E+003                  6.0490786794676166E-001                  7.3620981620866588E-001                  6.0490786794676166E-001                  7.3620981620866588E-001                  4.0455365835756878E+004                  1.3048538810285136E+007                  1.1287779530462210E+002                  1.8980019962649798E+017                 -1.3312810146391034E+000                  6.5179250073554595E-001                  8.1761230772392146E-001                  6.3520518375359947E-001                  3.6267432688907042E-001                  1.3810166536780987E-006                  5.1044458139666723E-004                  9.6550891657247819E-004                  0.0000000000000000E+000                  2.1321886165967386E-003                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.8809135057489916E-001                  2.5431303444108933E-003                  7.8128606917360344E-008                  1.0000000000000000E+000                  9.8746810295059040E-001                  2.6652357707459230E-003                  7.8128606917360344E-008                  7.3620981620866588E-001                  5.7667189801174246E-001                  2.9534763911074097E-002                  9.2051394161424196E-004                  7.3620981620866588E-001                  5.7239772153649582E-001                  3.2412820330813941E-002                  9.2051394161424196E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.1827090958144080E-001                 -4.7701733684372769E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8889314816263212E+000                 -4.2555706395753523E+000                 -2.1836933530028127E-001                 -3.8629958375201467E+000                 -4.7701733684372769E+001                 -3.6789168385523276E+001                 -4.0062244578337058E+001                 -4.8660016247622195E+001                  1.5320619084863042E+001                  0.0000000000000000E+000                  7.8066271301876879E+000                  1.1829248423265631E-045                  0.0000000000000000E+000                  7.8066271301876879E+000                  3.5527136788005009E-015                  2.8767621413057222E-004                  9.0299460262004239E+000                  1.9803575526404705E+002                  0.0000000000000000E+000                  4.5136117011712931E+003                 -2.1831076665211335E-001                  7.6440757985291052E-001                  3.2134807351521329E-017                  2.5495740173518663E-005                  2.3374121018762528E-001                  9.8712415971046334E-010                  3.8340566180673624E-038                  4.4367444298041658E-099                  3.1673533285458060E-004                  9.7154651489119649E-005                  8.8151880303382192E-004                  1.7988521197993511E-004                  3.5041923286549190E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     805                  2.7736333902009106E+009                  8.0000000000000016E-001                  5.9584302638119352E+003                  6.3268976855287273E-001                  7.4746441283317500E-001                  6.3268976855287273E-001                  7.4746441283317500E-001                  3.9246262055194042E+004                  1.3292307400953595E+007                  1.2226469029099378E+002                  2.0082035417763037E+017                 -1.3100989544648070E+000                  6.8033421491922208E-001                  7.9203966323295460E-001                  5.8406478761627734E-001                  4.1381573508436620E-001                  1.4869420465588869E-006                  5.1450724472983480E-004                  9.7048566577211787E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.8889619470388945E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.8805999894838537E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4746441283317500E-001                  5.8563081081368085E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4746441283317500E-001                  5.8017667653110516E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -1.9876854602292995E-001                 -4.7076264871920188E+001                 -1.5954589770191003E+001                 -9.8999999999999986E+001                 -1.8669502095419230E+000                 -4.2275928475747850E+000                 -1.9886952065752750E-001                 -3.8323910534231582E+000                 -4.7076264871920188E+001                 -3.6355936038327236E+001                 -3.9580133051756015E+001                 -4.8135045041648340E+001                  1.4385962804105400E+001                  0.0000000000000000E+000                  7.7950629522666555E+000                  5.3824611717690977E-045                  0.0000000000000000E+000                  7.7950629522666555E+000                  1.7763568394002505E-015                  3.4106336107264393E-002                  9.7258758368100580E+000                  1.9360746413487641E+002                  0.0000000000000000E+000                  4.3707492646909268E+003                 -1.9880918861174959E-001                  7.7012120535158557E-001                  3.3089732757164443E-017                  2.5087273613334256E-005                  2.2807477634056439E-001                  9.6201019707003294E-010                  1.3632562688996660E-038                  3.7760376368767665E-099                  3.0867762635215058E-004                  9.4683049536821383E-005                  8.5909307702717761E-004                  1.7519455695860699E-004                  3.4128176283046869E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     844                  3.4371410058560209E+009                  8.0000000000000016E-001                  5.9796702819795646E+003                  6.6233206777904530E-001                  7.5935044586605516E-001                  6.6233206777904530E-001                  7.5935044586605516E-001                  3.8027242642231729E+004                  1.3554564368941989E+007                  1.3282532077289071E+002                  2.1314213469283366E+017                 -1.2863080852986686E+000                  7.1019740786351215E-001                  7.6680803339390780E-001                  5.3360446327748445E-001                  4.6427156064413116E-001                  1.5611927447079920E-006                  5.1903812205596374E-004                  9.7470240938655908E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.8968285409252177E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.8899099333068308E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5935044586605516E-001                  5.9500304700502149E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5935044586605516E-001                  5.9058374715707762E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -1.7888374395142817E-001                 -4.6446283707585437E+001                 -1.5954589770191003E+001                 -9.8999999999999986E+001                 -1.8434827833865377E+000                 -4.2095190904384889E+000                 -1.7899609442875386E-001                 -3.7661493074022383E+000                 -4.6446283707585437E+001                 -3.5903828481858341E+001                 -3.9084812519457749E+001                 -4.7595435953088177E+001                  1.4466992194819118E+001                  0.0000000000000000E+000                  7.7830696784929128E+000                  2.4550277249166077E-044                  0.0000000000000000E+000                  7.7830696784929128E+000                  1.7763568394002505E-015                  1.4783829174151998E-004                  8.9095727585267053E+000                  1.8911842712640376E+002                  0.0000000000000000E+000                  4.2274622791875317E+003                 -1.7892421743939274E-001                  7.7573717505293938E-001                  3.4017432742979490E-017                  2.4681534176607342E-005                  2.2250503811726832E-001                  9.3739499923176154E-010                  5.1836302787581720E-039                  3.3020011223339988E-099                  3.0077964687925685E-004                  9.2260441878112403E-005                  8.3711189372001670E-004                  1.7060708354566854E-004                  3.3234529219756270E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     887                  4.0988629011934428E+009                  8.0000000000000016E-001                  6.0009359905129832E+003                  6.9482503494286352E-001                  7.7225117313549341E-001                  6.9482503494286352E-001                  7.7225117313549341E-001                  3.6767337950517511E+004                  1.3840276745126620E+007                  1.4510319417999142E+002                  2.2735698691431965E+017                 -1.2587633297834047E+000                  7.4255539097242307E-001                  7.4151016570946027E-001                  4.8301127646714881E-001                  5.1485921768995024E-001                  1.6453696869888717E-006                  5.2437155422889220E-004                  9.7787456955320765E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9045281990439082E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.8968407073855469E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7225117313549341E-001                  6.0607829062378860E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7225117313549341E-001                  6.0046442831920477E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -1.5808315442417298E-001                 -4.5795935354355549E+001                 -1.5954589770191003E+001                 -9.8999999999999986E+001                 -1.8178193741776665E+000                 -4.1790190990120797E+000                 -1.5821763425708116E-001                 -3.6672775430872360E+000                 -4.5795935354355549E+001                 -3.5427286807172841E+001                 -3.8565009101262170E+001                 -4.7029389068863445E+001                  1.4547680471618603E+001                  0.0000000000000000E+000                  7.7702709787149145E+000                  1.1629261904242697E-043                  0.0000000000000000E+000                  7.7702709787149145E+000                  3.5527136788005009E-015                  7.7919330546993867E-005                  8.8035399813863648E+000                  1.8445025550361882E+002                  0.0000000000000000E+000                  4.0801507937200927E+003                 -1.5812454206479767E-001                  7.8136853580191545E-001                  3.5231611308264756E-017                  2.4270450979543030E-005                  2.1691976352769535E-001                  9.1283119062131207E-010                  1.9310259651923989E-039                  2.9730665933253093E-099                  2.9289802871307823E-004                  8.9842852848166733E-005                  8.1517624622151163E-004                  1.6604801808720496E-004                  3.2346416070846306E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     935                  4.7605181614271307E+009                  8.0000000000000016E-001                  6.0221348553702192E+003                  7.3073340680022414E-001                  7.8638888147163377E-001                  7.3073340680022414E-001                  7.8638888147163377E-001                  3.5457214233975006E+004                  1.4155230515405308E+007                  1.5960538750951102E+002                  2.4396310844222682E+017                 -1.2304847688333049E+000                  7.7887569526195155E-001                  7.1609447083062516E-001                  4.3218208365167432E-001                  5.6567985947435684E-001                  1.7453113088973528E-006                  5.3163684391933528E-004                  9.8034195332769828E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9120738182663592E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9049146111732023E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8638888147163377E-001                  6.1793702485560908E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8638888147163377E-001                  6.1223478032498380E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -1.3619811579715230E-001                 -4.5116445137695045E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7895046384997026E+000                 -4.1413276798378096E+000                 -1.3637065379307692E-001                 -3.5371839439560406E+000                 -4.5116445137695045E+001                 -3.4921326030217649E+001                 -3.8013568282374862E+001                 -4.6429527097662522E+001                  1.4640640802879991E+001                  0.0000000000000000E+000                  7.7564807873096795E+000                  5.8633422360463811E-043                  0.0000000000000000E+000                  7.7564807873096795E+000                  3.5527136788005009E-015                  7.7919330546816220E-005                  8.7898113861614053E+000                  1.7956270262085852E+002                  0.0000000000000000E+000                  3.9278319394657055E+003                 -1.3624103764266887E-001                  7.8706065013255522E-001                  3.6466026558810539E-017                  2.3849699438264337E-005                  2.1127382833265451E-001                  8.8819310091748254E-010                  6.9235182418585376E-040                  2.7761132229983308E-099                  2.8499251219296320E-004                  8.7417933293309572E-005                  7.9317408625606209E-004                  1.6149384865695333E-004                  3.1459256675961617E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     989                  5.4190942248042192E+009                  8.0000000000000016E-001                  6.0429608278718752E+003                  7.7047099558625820E-001                  8.0193178171138091E-001                  7.7047099558625820E-001                  8.0193178171138091E-001                  3.4096082981610234E+004                  1.4503880785859993E+007                  1.7682858774080000E+002                  2.6349099123380390E+017                 -1.1973911753987785E+000                  8.2000671979249484E-001                  6.9068604738193173E-001                  3.8136709676282926E-001                  6.1648445978573196E-001                  1.8652546023276154E-006                  5.4132127952528344E-004                  9.7992957078467434E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9194092520022237E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9152009479030689E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0193178171138091E-001                  6.3187421534021726E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0193178171138091E-001                  6.2727249664257656E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -1.1319731266511712E-001                 -4.4403078312019275E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7581656576232820E+000                 -4.0845548215201095E+000                 -1.1343362625560618E-001                 -3.3776110766032708E+000                 -4.4403078312019275E+001                 -3.4382684247018425E+001                 -3.7426383281656463E+001                 -4.5792197642278552E+001                  1.4742859918747776E+001                  0.0000000000000000E+000                  7.7416458101588050E+000                  3.1845200186329335E-042                  0.0000000000000000E+000                  7.7416458101588050E+000                  1.7763568394002505E-015                  4.9048750384106436E-002                  9.7462246352578479E+000                  1.7444711245318354E+002                  0.0000000000000000E+000                  3.7705362808308046E+003                 -1.1324370567227571E-001                  7.9274660195481017E-001                  3.8071691885857480E-017                  2.3425118329238982E-005                  2.0563383772395638E-001                  8.6365378166027401E-010                  1.8724846377226729E-040                  2.7147292225832139E-099                  2.7711865697771184E-004                  8.5002725452683925E-005                  7.7126004413750459E-004                  1.5697097510082198E-004                  3.0578193766763747E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1050                  6.0692454868410234E+009                  8.0000000000000016E-001                  6.0631159662609516E+003                  8.1434508115599469E-001                  8.1897628378423981E-001                  8.1434508115599469E-001                  8.1897628378423981E-001                  3.2691638615779968E+004                  1.4885386241041161E+007                  1.9700297657425759E+002                  2.8648671898689325E+017                 -1.1602802103376049E+000                  8.6314779152997223E-001                  6.6556470662513956E-001                  3.3112594010128099E-001                  6.6671339436949040E-001                  2.0129166588774629E-006                  5.5506558975427969E-004                  9.7447378033892673E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9263377130336050E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9231542582874366E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1897628378423981E-001                  6.4689646129822154E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1897628378423981E-001                  6.4223058475788641E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -8.9143024290353132E-002                 -4.3658817762635941E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7235770468324725E+000                 -4.0412288714165205E+000                 -8.9485830214975443E-002                 -3.1920504081681962E+000                 -4.3658817762635941E+001                 -3.3813087258113953E+001                 -3.6805348256251683E+001                 -4.5121120807242150E+001                  1.4784325359490333E+001                  0.0000000000000000E+000                  7.7260057069305121E+000                  1.8370218815794534E-041                  0.0000000000000000E+000                  7.7260057069305121E+000                  1.7763568394002505E-015                  4.9048750384106436E-002                  9.7348197339397693E+000                  1.6912607857219777E+002                  0.0000000000000000E+000                  3.6092110322564413E+003                 -8.9191522525896252E-002                  7.9843551273223068E-001                  3.9782169843090580E-017                  2.2994597459193430E-005                  1.9999050618537345E-001                  8.3929269349231042E-010                  4.4350165476946989E-041                  2.8019858853726260E-099                  2.6930197685631378E-004                  8.2605055365952368E-005                  7.4950512831484500E-004                  1.5250036554799459E-004                  2.9707311967921041E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
