                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7385      1.2000000000000000E+000      2.0000000000000002E-005      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93 
                            model_number                                 star_age                                star_mass                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                   radius                                  gravity                                 center_T                               center_Rho                                 center_P                        center_degeneracy                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne22                           mass_conv_core                             he_core_mass                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                                   log_LH                                  log_LHe                                   log_LZ                              log_extra_L                                 log_Lneu                            log_abs_Lgrav                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                max_eps_h                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                             max_eps_he_m                           max_eps_he_lgR                                max_eps_z                              max_eps_z_m                            max_eps_z_lgR                                 delta_nu                                 delta_Pg                                   nu_max                                    log_L                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                               burn2_top1                               burn2_bot1                               burn2_top2                               burn2_bot2                               burn2_top3                               burn2_bot3                               burn2_top4                               burn2_bot4                                 coupling 
                                     772                  8.0504213396461038E+006                  1.2000000000000000E+000                  8.8052264526940253E+003                  4.6576334869890701E+000                  9.2866789644032832E-001                  4.6576334869890701E+000                  9.2866789644032832E-001                  3.8137281680453889E+004                  1.7145253939762108E+007                  1.0590160522798084E+002                  2.5506753736309427E+017                 -1.7655134588536840E+000                  5.9641456053725084E-001                  8.7555667731721432E-001                  7.5110756718629867E-001                  2.4885457065751970E-001                  4.7184996064926568E-007                  4.5592727687732920E-006                  9.6492178020907044E-006                  0.0000000000000000E+000                  4.8183987201709619E-002                  0.0000000000000000E+000                  3.8845301674353516E-002                  7.8129590463937859E-008                  9.9999999967024911E-001                  9.9999999927221506E-001                  4.9095664326224031E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9960690089493920E-001                  8.7647437382746593E-002                  1.0763774836101334E-003                  9.2344557541550487E-001                  9.2157988576808714E-001                  9.5229964692047933E-002                  1.0763774836101334E-003                  9.2866789644032832E-001                  7.4811120908781703E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2531425612034395E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.6888559142727757E-001                 -4.2157716697667517E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0499097699027991E+000                 -2.1450459007768079E-002                  5.6851079031576290E-001                 -2.4952852367851310E+000                 -4.2157716697667517E+001                 -3.2275287554949472E+001                 -3.6396679696623110E+001                 -4.4335094977933878E+001                  7.8947114870383274E+001                  0.0000000000000000E+000                  7.8745613640267367E+000                  2.0896816779154589E-040                  0.0000000000000000E+000                  7.8745613640267367E+000                  1.4210854715202004E-014                  8.0376801260371154E-004                  9.1875445850608486E+000                  1.5182360122728255E+002                  0.0000000000000000E+000                  3.4938398491618136E+003                  6.6816531055314499E-001                  7.6126897833514706E-001                  4.7999074442600669E-017                  2.5755620590169311E-005                  2.3868620388120174E-001                  1.1115599502929595E-011                  1.8290402777571316E-043                  1.4585728592104286E-099                  3.3425672480963387E-006                  1.0252912207204230E-006                  9.3028329143022585E-006                  1.8288438509829144E-006                  3.5626166944934121E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     779                  9.0434009104601871E+006                  1.2000000000000000E+000                  8.7177794194256239E+003                  4.1501727820246943E+000                  8.9429370370801642E-001                  4.1501727820246943E+000                  8.9429370370801642E-001                  4.1125411190415245E+004                  1.7412043769886848E+007                  1.0591140167440125E+002                  2.5900574823428432E+017                 -1.7898090737705095E+000                  5.9646498919405433E-001                  8.7549896319068221E-001                  7.5099192781052493E-001                  2.4896954623476925E-001                  2.8951007285309469E-007                  4.7725550600529064E-006                  9.6486673515798808E-006                  0.0000000000000000E+000                  9.4409043101388243E-002                  0.0000000000000000E+000                  7.7016868825628415E-002                  7.8129590463937859E-008                  9.9999999968587416E-001                  9.9999999934520656E-001                  9.7975052947654295E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9971279869415641E-001                  1.1193381689092935E-001                  1.0763442954946835E-003                  8.8942180808204352E-001                  8.8782830989257167E-001                  1.2231136768025808E-001                  1.0763442954946835E-003                  8.9429370370801642E-001                  7.3349858558613090E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.0420795331466977E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0087501216616868E-001                 -4.1830303102925107E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0118325737146359E+000                 -7.9295231218283013E-001                  6.0063381348940204E-001                 -2.6546549719873935E+000                 -4.1830303102925107E+001                 -3.2236175757199810E+001                 -3.6060216160863739E+001                 -4.3987276844191541E+001                  9.6227682613102971E+001                  0.0000000000000000E+000                  7.8745479731505483E+000                  4.3139069780339824E-040                  0.0000000000000000E+000                  7.8745479731505483E+000                  1.4210854715202004E-014                  8.1483782267815809E-003                  9.5245287933792326E+000                  1.6048469684448165E+002                  0.0000000000000000E+000                  3.7864379075280258E+003                  6.1806617784892637E-001                  7.6563025849214483E-001                  4.8274059273806830E-017                  2.5445937700086654E-005                  2.3432565016692608E-001                  1.0930148351672766E-011                  1.7985248183691092E-043                  1.4197769528895674E-099                  3.2868003104561790E-006                  1.0081854013531450E-006                  9.1476257144159518E-006                  1.7648415909391185E-006                  3.4379392814956966E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     786                  1.2248880020999718E+007                  1.2000000000000000E+000                  8.6354789861028057E+003                  3.9291491065201374E+000                  8.8681948777178243E-001                  3.9291491065201374E+000                  8.8681948777178243E-001                  4.1821551782030292E+004                  1.7399859344968129E+007                  1.0479937169322791E+002                  2.5598467283230938E+017                 -1.8002015924068926E+000                  5.9669407172778222E-001                  8.7523630123800722E-001                  7.5046643438035066E-001                  2.4949448700341473E-001                  2.5884391629916450E-008                  5.0828413497050506E-006                  9.6459242849590368E-006                  0.0000000000000000E+000                  1.0715949607229984E-001                  0.0000000000000000E+000                  8.8871989095799298E-002                  7.8129590463937859E-008                  9.9999999968587416E-001                  9.9999999937763762E-001                  1.1344994208596582E-001                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9975886862586982E-001                  1.1837285328897808E-001                  1.0801379517070043E-003                  8.8202042702560046E-001                  8.8062030592988472E-001                  1.2964974920244765E-001                  1.0801379517070043E-003                  8.8681948777178243E-001                  7.3347336838700117E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.0420795331467230E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.9733317890876325E-001                 -4.1850608849995233E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0177107184451042E+000                 -1.5598572551991239E+000                  5.9726264270736995E-001                 -3.1920743322415146E+000                 -4.1850608849995233E+001                 -3.3289359319876922E+001                 -3.6049774698292964E+001                 -4.4005925713338236E+001                  9.7404411142271613E+001                  0.0000000000000000E+000                  7.8760759854130971E+000                  4.1035820649240325E-040                  0.0000000000000000E+000                  7.8760759854130971E+000                  2.8421709430404007E-014                  2.2188823258919576E-004                  9.0024537323653266E+000                  1.6249338215970508E+002                  0.0000000000000000E+000                  3.8688371687251961E+003                  5.9429851008189682E-001                  7.7682482641337236E-001                  4.8979892993763020E-017                  2.4642682722013952E-005                  2.2313294954663060E-001                  1.0449718623890153E-011                  1.7194714733367793E-043                  1.2914500647893749E-099                  3.1423304892220890E-006                  9.6387106797519451E-007                  8.7455459630316607E-006                  1.6043330993295034E-006                  3.1252662058205683E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     824                  2.9098333776524514E+008                  1.2000000000000000E+000                  8.6941621144895071E+003                  4.2614944928498479E+000                  9.1113836630295320E-001                  4.2614944928498479E+000                  9.1113836630295320E-001                  3.9618855974137070E+004                  1.7824109969718151E+007                  1.1259860435910960E+002                  2.7117287792445779E+017                 -1.7940508477634507E+000                  6.1983782758895789E-001                  8.4959524133212871E-001                  6.9918589885058979E-001                  3.0077977318353544E-001                  2.4054873679007867E-008                  5.4272828596841556E-006                  9.2898113438591020E-006                  0.0000000000000000E+000                  7.9419274347407240E-002                  0.0000000000000000E+000                  6.5524089175874822E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9999999999178024E-001                  7.9959874755895499E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9970258980498528E-001                  1.0358039950874944E-001                  1.0546000384599186E-003                  9.1113836630295320E-001                  9.1039099250856081E-001                  1.1138746086595473E-001                  1.0546000384599186E-003                  9.1113836630295320E-001                  7.4034084407717859E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.0420795331466167E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.2965621559682716E-001                 -4.1072304667041379E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8035399289177794E-001                 -3.0337417928272754E+000                  6.2961765635708888E-001                 -3.4220189127283085E+000                 -4.1072304667041379E+001                 -3.2834414842375622E+001                 -3.5455863303887824E+001                 -4.3405912245399790E+001                  9.2695427472251666E+001                  0.0000000000000000E+000                  7.8656845425383732E+000                  2.5824965825385544E-039                  0.0000000000000000E+000                  7.8656845425383732E+000                  2.8421709430404007E-014                  0.0000000000000000E+000                  7.8656845425383732E+000                  1.5573032973797910E+002                  0.0000000000000000E+000                  3.6526796747216563E+003                  6.2956193153809903E-001                  8.7016166481893475E-001                  6.1350598676830024E-017                  1.7264670997655696E-005                  1.2981130805193275E-001                  6.2761259901392207E-012                  1.0399428996198712E-043                  0.0000000000000000E+000                  1.8872912049445971E-006                  5.7890326798200020E-007                  5.2525958154562061E-006                  6.9323291236415963E-007                  1.3504286576645116E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     856                  5.2871066210308534E+008                  1.2000000000000000E+000                  8.7570653401708933E+003                  4.5234967191950108E+000                  9.2529197577183142E-001                  4.5234967191950108E+000                  9.2529197577183142E-001                  3.8416076503461998E+004                  1.8312776526887875E+007                  1.2100322691566576E+002                  2.8790107237983994E+017                 -1.7930805607275644E+000                  6.4458384049025641E-001                  8.2437312893531678E-001                  6.4874287494068417E-001                  3.5122643362923101E-001                  2.7943103903751061E-008                  5.9747722049300383E-006                  8.6902826694845767E-006                  0.0000000000000000E+000                  6.4211143748438892E-002                  0.0000000000000000E+000                  5.2454337406088514E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9999999999356559E-001                  6.5524089175875044E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9964590787176855E-001                  9.3466224827919622E-002                  1.0295951021472563E-003                  9.2529197577183142E-001                  9.2463575009389654E-001                  1.0128984598598054E-001                  1.0295951021472563E-003                  9.2529197577183142E-001                  7.4294198845756088E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.6109255559133551E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.5557885560311768E-001                 -4.0277910062498684E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.3163656104658144E-001                 -2.9628309926181959E+000                  6.5551709167900940E-001                 -3.1915014566297666E+000                 -4.0277910062498684E+001                 -3.2234307243135916E+001                 -3.4807773767264436E+001                 -4.2771703690640571E+001                  9.2242223218777283E+001                  0.0000000000000000E+000                  7.8552632276381171E+000                  1.6795243402948076E-038                  0.0000000000000000E+000                  7.8552632276381171E+000                  1.4210854715202004E-014                  5.1667816006349503E-003                  9.4385084498650773E+000                  1.5215159137505006E+002                  0.0000000000000000E+000                  3.5290453288239501E+003                  6.5547427966741290E-001                  8.9025223204131265E-001                  7.4436684068913785E-017                  1.5506279784331886E-005                  1.0972401411922821E-001                  5.3551579700466830E-012                  1.0253638684583396E-043                  0.0000000000000000E+000                  1.6103472992475534E-006                  4.9395414532637720E-007                  4.4818221286138022E-006                  5.6357593249383020E-007                  1.0978548139241750E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     890                  7.3734138175039518E+008                  1.2000000000000000E+000                  8.8149109642862513E+003                  4.7816713461717359E+000                  9.3888594511305568E-001                  4.7816713461717359E+000                  9.3888594511305568E-001                  3.7311690286277066E+004                  1.8808578724487476E+007                  1.3032827105809230E+002                  3.0555841807832058E+017                 -1.7898986049966283E+000                  6.7223650803352775E-001                  7.9892140535707312E-001                  5.9784040159467355E-001                  4.0213190914774188E-001                  3.3720800175742446E-008                  6.8251072779336583E-006                  7.7401480904363935E-006                  0.0000000000000000E+000                  4.9677600931686244E-002                  0.0000000000000000E+000                  4.1365139399864304E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9999999999419564E-001                  5.2454337406088514E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9959297723234819E-001                  8.3883201681414041E-002                  1.0044289941714788E-003                  9.3888594511305568E-001                  9.3825799813265176E-001                  9.1325547311409544E-002                  1.0044289941714788E-003                  9.3888594511305568E-001                  7.4645504100745630E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.1648765606878002E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.7969306217044700E-001                 -3.9520710997157238E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.8195829130710279E-001                 -2.9037728945715160E+000                  6.7959107756385106E-001                 -2.9496076154866930E+000                 -3.9520710997157238E+001                 -3.1637726698259655E+001                 -3.4164938686731539E+001                 -4.2181088619243539E+001                  9.1176669703449832E+001                  0.0000000000000000E+000                  7.8445160004112537E+000                  1.0088293591608918E-037                  0.0000000000000000E+000                  7.8445160004112537E+000                  1.4210854715202004E-014                  8.0376801260344515E-004                  9.1575783298619964E+000                  1.4887428056250934E+002                  0.0000000000000000E+000                  3.4163273908046413E+003                  6.7957972287780999E-001                  9.0053240475008811E-001                  8.2783882170806991E-017                  1.4566677025489028E-005                  9.9445533559110663E-002                  4.8774128602615547E-012                  1.7053521426771074E-043                  0.0000000000000000E+000                  1.4666847683615603E-006                  4.4988743829220343E-007                  4.0819891793621954E-006                  5.0761177007599266E-007                  9.8883574200287760E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     928                  9.1470200349249148E+008                  1.2000000000000000E+000                  8.8667848120301060E+003                  5.0282688002596183E+000                  9.5155904566791794E-001                  5.0282688002596183E+000                  9.5155904566791794E-001                  3.6324455692807984E+004                  1.9298004245567951E+007                  1.4069837609092602E+002                  3.2418876011781408E+017                 -1.7824990158265146E+000                  7.0191051965902995E-001                  7.7348224799557852E-001                  5.4696286863561716E-001                  4.5301192938229151E-001                  4.2262059193569336E-008                  8.0788874079697591E-006                  6.3234476531570715E-006                  0.0000000000000000E+000                  3.5059438580023382E-002                  0.0000000000000000E+000                  2.9213840324674223E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9999999999454192E-001                  3.5814958248000961E-002                  7.8129590463937859E-008                  1.0000000000000000E+000                  9.9954029503595621E-001                  7.2408404519279337E-002                  9.7911962859083225E-004                  9.5155904566791794E-001                  9.5094351414772893E-001                  7.7806426788476740E-002                  9.7911962859083225E-004                  9.5155904566791794E-001                  7.4990447829360596E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.3996396186239504E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.0153206046453565E-001                 -3.8811758816171491E+001                 -1.5051499783199059E+001                 -9.8999999999999986E+001                 -8.3398965931543523E-001                 -2.8810348446859364E+000                  7.0136327847881541E-001                 -2.7090105470418178E+000                 -3.8811758816171491E+001                 -3.1056941142960895E+001                 -3.3541488324834859E+001                 -4.1664701366254235E+001                  8.9820348426123019E+001                  0.0000000000000000E+000                  7.8334325167406691E+000                  5.4846628129295684E-037                  0.0000000000000000E+000                  7.8334325167406691E+000                  1.4210854715202004E-014                  1.5593477975812896E-003                  9.2433848344072125E+000                  1.4593310816158018E+002                  0.0000000000000000E+000                  3.3161911437320159E+003                  7.0141848606824364E-001                  9.0651507253807939E-001                  8.7668246598138268E-017                  1.4008951911681068E-005                  9.3463851156835309E-002                  4.5974620022365583E-012                  4.4792447272022949E-043                  0.0000000000000000E+000                  1.3825008636730024E-006                  4.2406506524875865E-007                  3.8476935792251389E-006                  4.7933565140127376E-007                  9.3375341641674811E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                     966                  1.0661058211524237E+009                  1.2000000000000000E+000                  8.9147684918015148E+003                  5.2648741105313821E+000                  9.6323597250676185E-001                  5.2648741105313821E+000                  9.6323597250676185E-001                  3.5449099966638270E+004                  1.9770217560775127E+007                  1.5233485866660070E+002                  3.4410140634149920E+017                 -1.7710607488192758E+000                  7.3316143357728691E-001                  7.4842213496624599E-001                  4.9684322233381739E-001                  5.0313350521020128E-001                  5.3385222131328371E-008                  9.6401791380698438E-006                  4.5493080359649478E-006                  0.0000000000000000E+000                  2.0979944929064839E-002                  0.0000000000000000E+000                  1.7251189210716444E-002                  7.8129590352915557E-008                  1.0000000000000000E+000                  9.9999999999475320E-001                  2.2314257593211484E-002                  7.8129590352915557E-008                  1.0000000000000000E+000                  9.9947179994394331E-001                  5.8746212051221790E-002                  9.5352559221914491E-004                  9.6323597250676185E-001                  9.6258660204533331E-001                  6.4244519632774305E-002                  9.5352559221914491E-004                  9.6323597250676185E-001                  7.5186037113720361E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.1874962450088417E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.2149348381043754E-001                 -3.8153218635691132E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.8923413983989787E-001                 -2.8931291955113703E+000                  7.2122194236436943E-001                 -2.4825904646728079E+000                 -3.8153218635691132E+001                 -3.0508947131893848E+001                 -3.2953580607442937E+001                 -4.1242925825528751E+001                  8.9176365872833983E+001                  0.0000000000000000E+000                  7.8219291135213931E+000                  2.6629131309052594E-036                  0.0000000000000000E+000                  7.8219291135213931E+000                  2.8421709430404007E-014                  4.3177576008266436E-004                  9.0453804021933379E+000                  1.4330993244892255E+002                  0.0000000000000000E+000                  3.2275553784323947E+003                  7.2138799114255081E-001                  9.1018522379017941E-001                  9.0618003828202304E-017                  1.3660597522710855E-005                  8.9794301814941746E-002                  4.4231423253399420E-012                  1.3055215922846590E-042                  0.0000000000000000E+000                  1.3300812670025982E-006                  4.0798600138236067E-007                  3.7018024981892655E-006                  4.6605013863014618E-007                  9.0787302779423845E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                    1006                  1.2011620751109910E+009                  1.2000000000000000E+000                  8.9624678640655202E+003                  5.5035123756736146E+000                  9.7436928940231982E-001                  5.5035123756736146E+000                  9.7436928940231982E-001                  3.4643632664823548E+004                  2.0230685650576547E+007                  1.6632052105968000E+002                  3.6689019741499680E+017                 -1.7517259262748137E+000                  7.6825749012400169E-001                  7.2302208255365308E-001                  4.4604355758033409E-001                  5.5393469155003694E-001                  6.6461299174990761E-008                  1.1266218430405077E-005                  2.6974548353294807E-006                  0.0000000000000000E+000                  9.4604237462741284E-003                  0.0000000000000000E+000                  7.5127474060171506E-003                  7.8129590352915557E-008                  1.0000000000000000E+000                  9.9999999999493716E-001                  7.5127474060171506E-003                  7.8129590352915557E-008                  1.0000000000000000E+000                  9.9941390058826907E-001                  4.2917995407146012E-002                  9.2601247943603149E-004                  9.7436928940231982E-001                  9.7368682273237428E-001                  4.2917995407146012E-002                  9.2601247943603149E-004                  9.7436928940231982E-001                  7.5456720968216640E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.9108513422527968E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.4074139608126843E-001                 -3.7529654235658938E+001                 -1.4352529778863040E+001                 -9.8999999999999986E+001                 -7.4716395288234039E-001                 -2.8908566207447182E+000                  7.4032358508071094E-001                 -2.2762719336251549E+000                 -3.7529654235658938E+001                 -2.9997890456399745E+001                 -3.2405368745823999E+001                 -4.0924229475667737E+001                  8.9076401828069919E+001                  0.0000000000000000E+000                  7.8092135992092508E+000                  1.2092502515191723E-035                  0.0000000000000000E+000                  7.8092135992092508E+000                  1.4210854715202004E-014                  3.2346694922978300E-002                  9.6677311784682534E+000                  1.4087955919589530E+002                  0.0000000000000000E+000                  3.1458147432513601E+003                  7.4063994740483663E-001                  9.1263688982369484E-001                  9.2530573963135701E-017                  1.3426869373295828E-005                  8.7343026204775701E-002                  4.3068152527601411E-012                  3.7160456693266095E-042                  0.0000000000000000E+000                  1.2951006019678788E-006                  3.9725611441434664E-007                  3.6044464069290217E-006                  4.6142721870117630E-007                  8.9886750678849350E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
